unit;counterparty_code;counterparty_name;ctype_code;ctype_name;def_id;default_start_date;default_end_date;long_term_rating;currentstartdate;defaultenddate;dqi_check
RBRS;650054;EUROBUS LINE DOO GLOZJE - U PRINUD-OJ LIKVIDACIJI;6;Small Medium Business (SMB);104306;28.09.2017;05.10.2020;SME_MIS;28.09.2017;05.10.2020;OK
RBRS;204497;DENEZA M INZENJERING BEOGRAD;3;Corporates;92301;07.09.2016;25.10.2022;CORP_9C;07.09.2016;25.10.2022;OK
RBRS;934364;LAVANI DOO BEOGRAD;6;Small Medium Business (SMB);105765;17.11.2017;07.11.2019;SME_MIS;17.11.2017;07.11.2019;OK
RBRS;166150;AKO MED DOO BEOGRAD;6;Small Medium Business (SMB);95783;22.12.2016;20.09.2017;SME_4B;22.12.2016;20.09.2017;OK
RBRS;119362;ADRIA MEDIA GROUP DOO;3;Corporates;104605;11.10.2017;30.08.2019;CORP_7C;11.10.2017;30.08.2019;OK
RBRS;695488;KOLOS RR DOO BEOGRAD, OBRENOVAC;6;Small Medium Business (SMB);112330;11.09.2018;24.09.2021;SME_MIS;11.09.2018;24.09.2021;OK
RBRS;769810;ALATCOOP DOO KANJIZA;6;Small Medium Business (SMB);107228;22.12.2017;21.01.2020;SME_6B;22.12.2017;21.01.2020;OK
RBRS;1250448;LOLA AUDIO DOO BEOGRAD;6;Small Medium Business (SMB);112171;29.08.2018;24.09.2021;SME_6B;29.08.2018;24.09.2021;OK
RBRS;165537;PAROSKI DOO SRBOBRAN;6;Small Medium Business (SMB);113770;06.11.2018;24.09.2021;SME_MIS;06.11.2018;24.09.2021;OK
RBRU;736206;TOMSKNEFTEPROEKT OOO;6;Small Medium Business (SMB);115652;14.05.2019;30.09.2021;SME_9C;14.05.2019;30.09.2021;OK
RBRU;1520983;TD SDS-TREID OOO;3;Corporates;123951;26.03.2020;22.09.2020;CORP_MIS;26.03.2020;22.09.2020;OK
RBRU;1456341;SHAKHTOUPRAVLENIE MAISKOE OOO;3;Corporates;123932;26.03.2020;20.12.2021;CORP_9C;26.03.2020;20.12.2021;OK
RBRU;628915;PRUDNIKOVA TAMARA SERGEEVNA IEN;6;Small Medium Business (SMB);88961;19.05.2016;14.12.2017;SME_MIS;19.05.2016;14.12.2017;OK
RBRU;556152;TTS NA SIRENEVOM OOO;18;Specialised Lending Project (excl. Commodity);86764;29.02.2020;08.10.2020;SLOT_RE_6.5;29.02.2020;08.10.2020;ERROR
RBRU;750865;ECOLIGHT LTD;3;Corporates;105965;23.11.2017;13.05.2019;CORP_MIS;23.11.2017;13.05.2019;OK
RBRU;1356657;TROYA OOO;6;Small Medium Business (SMB);117630;28.05.2019;30.12.2020;SME_MIS;28.05.2019;30.12.2020;OK
RBRU;1330275;SK STROI GRUPP OOO;6;Small Medium Business (SMB);116210;11.03.2019;30.11.2020;SME_MIS;11.03.2019;30.11.2020;OK
RBRU;778206;SIBEVROPLAST OOO;6;Small Medium Business (SMB);82901;18.02.2016;24.06.2016;SME_MIS;18.02.2016;24.06.2016;OK
RBRU;1055738;OOO KMP;6;Small Medium Business (SMB);132250;19.05.2021;28.06.2022;SME_9C;19.05.2021;28.06.2022;OK
RBRU;1574267;SHP LOSEVO LLC;3;Corporates;129670;17.12.2020;30.12.2021;CORP_10;17.12.2020;30.12.2021;ERROR
RBRU;683407;IEN BASAK IGOR ALEKSANDROVICH;6;Small Medium Business (SMB);97705;12.03.2017;26.11.2019;SME_MIS;12.03.2017;26.11.2019;OK
RBRU;1352879;Fruit Line ltd;3;Corporates;132370;27.05.2021;01.12.2021;CORP_10;27.05.2021;01.12.2021;ERROR
