unit;default_id;cross_default_cocunut;entity_type;entity_type_desc;default_status_detail;cross_default_start_date;tdc;tdc2;dqi_check
TLSK;134970;388622;3;Corporates;P;29.09.2021;388622;388622;OK
RBAL;91302;130241;3;Corporates;C;01.08.2016;130241;130241;OK
RLRO;89401;677803;3;Corporates;C;01.06.2016;677803;677803;OK
RLBH;131895;875831;3;Corporates;C;26.04.2021;875831;875831;OK
RLBH;113730;944068;6;Small Medium Business (SMB);C;05.11.2018;944068;944068;OK
RLHR;98387;125693;3;Corporates;C;31.03.2017;125693;125693;OK
TLSK;128930;1428193;6;Small Medium Business (SMB);P;25.11.2020;1428193;1428193;OK
RLBH;89161;737522;3;Corporates;C;25.05.2016;737522;737522;OK
RLUA;94844;956387;6;Small Medium Business (SMB);C;22.11.2016;956387;956387;OK
TBSK;120531;1503696;6;Small Medium Business (SMB);P;04.11.2019;1503696;1503696;OK
TBSK;137011;1611542;6;Small Medium Business (SMB);P;03.01.2022;1611542;1611542;OK
RLHR;131133;952863;3;Corporates;C;12.03.2021;952863;952863;OK
TBSK;122394;716936;6;Small Medium Business (SMB);P;30.01.2020;716936;716936;OK
TBSK;121470;871344;3;Corporates;C;16.12.2019;871344;871344;OK
RLHR;136774;128329;6;Small Medium Business (SMB);P;20.12.2021;128329;128329;OK
RLBG;119971;592372;6;Small Medium Business (SMB);P;30.09.2019;592372;592372;OK
RBRS;141033;1347410;6;Small Medium Business (SMB);P;16.09.2022;1347410;1347410;OK
RBI;104365;796031;;;C;29.09.2017;796031;796031;OK
ILSK;134688;1063445;6;Small Medium Business (SMB);C;24.09.2021;1063445;1063445;OK
ILSK;134685;1226542;6;Small Medium Business (SMB);C;24.09.2021;1226542;1226542;OK
RBCZ;107205;78870;3;Corporates;C;22.12.2017;78870;78870;OK
TLSK;129650;1349290;6;Small Medium Business (SMB);P;16.12.2020;1349290;1349290;OK
RLHR;140374;137490;3;Corporates;P;02.08.2022;137490;137490;OK
TLSK;134830;1360044;6;Small Medium Business (SMB);P;28.09.2021;1360044;1360044;OK
RLPL;85141;162665;;;C;13.01.2016;;;ERROR
CASRS;140343;2150087;3;Corporates;P;01.04.2022;;;ERROR
CASRS;140339;1791503;3;Corporates;P;01.04.2022;;;ERROR
RBI;139375;164642;11;Banks;P;31.05.2022;164642;164642;OK
RBI;100245;167398;;;C;23.05.2017;167398;167398;OK
RLRO;97249;733913;3;Corporates;C;20.02.2017;733913;733913;OK
RBRO;142433;66029;3;Corporates;P;21.12.2022;66029;66029;OK
RBRO;142434;497943;3;Corporates;P;21.12.2022;497943;497943;OK
RLBY1;86921;676139;6;Small Medium Business (SMB);C;14.03.2016;676139;676139;OK
RLRO;129611;1361624;6;Small Medium Business (SMB);P;15.12.2020;1361624;1361624;OK
TBSK;136352;1905910;6;Small Medium Business (SMB);P;29.11.2021;1905910;1905910;OK
ILSK;134684;1398159;6;Small Medium Business (SMB);C;24.09.2021;1398159;1398159;OK
TLSK;93990;751945;6;Small Medium Business (SMB);C;25.10.2016;751945;751945;OK
TLSK;138778;467049;3;Corporates;P;28.04.2022;467049;467049;OK
TBSK;107207;1225000;3;Corporates;C;22.12.2017;1225000;1225000;OK
RBCZ;107406;1225000;3;Corporates;C;27.12.2017;1225000;1225000;OK
RBRO;120532;1038103;6;Small Medium Business (SMB);C;04.11.2019;1038103;1038103;OK
RLBG;96645;223124;6;Small Medium Business (SMB);C;30.01.2017;223124;223124;OK
RLRU;119892;1461797;3;Corporates;P;26.09.2019;1461797;1461797;OK
RBRO;89581;209331;3;Corporates;P;07.06.2016;209331;209331;OK
RLHR;98388;28482;3;Corporates;C;31.03.2017;28482;28482;OK
TLSK;130691;155326;3;Corporates;P;17.02.2021;155326;155326;OK
ILSK;134674;155326;3;Corporates;C;24.09.2021;155326;155326;OK
RBAL;128972;693432;3;Corporates;C;26.11.2020;693432;693432;OK
TBSK;124094;1393954;6;Small Medium Business (SMB);P;06.04.2020;1393954;1393954;OK
RLHR;88322;108085;3;Corporates;C;28.04.2016;108085;108085;OK
RLKO;134591;164836;6;Small Medium Business (SMB);P;21.09.2021;164836;164836;OK
RBCZ;141975;807434;3;Corporates;P;23.11.2022;807434;807434;OK
RLRU;128893;1363199;3;Corporates;P;24.11.2020;1363199;1363199;OK
