unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
AVAL;318510;6;536272;915000;2630000;2441000
AVAL;2023107;6;85127;915000;2760000;2441000
AVAL;1918239;6;7407;915000;4020000;2441000
AVAL;1514394;6;66782;915000;4470000;2441000
AVAL;1838081;6;4;915000;2810000;2441000
AVAL;663813;6;614381;915000;3660000;2441000
AVAL;852658;6;6;915000;3410000;2441000
AVAL;812391;6;256733;915000;3090000;2441000
AVAL;786208;6;27878;915000;6170000;2441000
AVAL;660343;6;486370;915000;3450000;2441000
AVAL;1559323;6;1325;915000;4260000;2441000
AVAL;1889159;6;64057;915000;3670000;2441000
AVAL;1979325;6;271360;915000;3330000;2441000
AVAL;1629387;6;127462;915000;3530000;2441000
AVAL;852649;6;630691;915000;3410000;2441000
AVAL;1024876;6;20539;915000;3250000;2441000
AVAL;312833;6;764806;915000;2570000;2441000
AVAL;782109;6;451845;915000;3210000;2441000
AVAL;178444;6;171690;915000;2890000;2441000
AVAL;191443;6;306157;915000;3500000;2441000
AVAL;217358;6;806910;915000;2950000;2441000
AVAL;326152;6;279449;915000;133280000;2441000
AVAL;2030048;6;276707;915000;4860000;2441000
AVAL;504886;6;4;915000;5520000;2441000
AVAL;1806614;6;17434;915000;3380000;2441000
AVAL;217412;6;822695;915000;4940000;2441000
AVAL;806359;6;234304;915000;2640000;2441000
AVAL;743355;6;41081;915000;2590000;2441000
AVAL;272106;6;489415;915000;2890000;2441000
AVAL;789559;6;533205;915000;3020000;2441000
AVAL;1056086;6;25673;915000;4980000;2441000
AVAL;801361;6;45131;915000;4670000;2441000
AVAL;222144;6;6;915000;3040000;2441000
AVAL;309433;6;894485;915000;4090000;2441000
AVAL;1984735;6;21127;915000;2950000;2441000
AVAL;176988;6;186382;915000;3400000;2441000
AVAL;219238;6;674760;915000;7070000;2441000
AVAL;2072949;6;110963;915000;2810000;2441000
AVAL;1526099;6;51741;915000;4530000;2441000
AVAL;754951;6;23;915000;3510000;2441000
AVAL;1554241;6;58527;915000;3430000;2441000
AVAL;783937;6;9;915000;3500000;2441000
AVAL;1023101;6;444609;915000;3600000;2441000
AVAL;1924332;6;51816;915000;2590000;2441000
AVAL;2020202;6;14182;915000;2760000;2441000
AVAL;912103;6;21168;915000;3050000;2441000
AVAL;1427933;6;64654;915000;2470000;2441000
AVAL;216943;6;320274;915000;2680000;2441000
AVAL;698265;6;131126;915000;4170000;2441000
