unit;trigger_default_id;trigger_default_cocunut;trigger_default_entity_type;trigger_default_entity_type_desc;trigger_default_class_1;trigger_default_rank;cross_default_id;cross_default_cocunut;cross_default_entity_type;cross_default_entity_type_desc;cross_default_class_1;cross_booking_company;cross_default_rank;number_days;trigger_default_start_conf_on;cross_default_start_conf_on;dqi_check
TLSK;111268;794541;6;Small Medium Business (SMB);D4;1;111271;794541;6;Small Medium Business (SMB);D12;TBSK;2;3;03.07.2018;06.07.2018;OK
TLSK;100706;798234;3;Corporates;D8;1;130670;798234;3;Corporates;D12;TBSK;2;1358;01.06.2017;18.02.2021;ERROR
TLSK;138787;804919;3;Corporates;D8;4;88364;804919;3;Corporates;D12;TLSK;2;2192;28.04.2022;27.04.2016;OK
TLSK;110285;91125;6;Small Medium Business (SMB);D8;1;122391;91125;6;Small Medium Business (SMB);D12;TBSK;2;641;30.04.2018;31.01.2020;ERROR
TLSK;104225;934825;6;Small Medium Business (SMB);D8;1;104245;934825;6;Small Medium Business (SMB);D12;TBSK;2;2;27.09.2017;29.09.2017;OK
TLSK;124810;1040550;3;Corporates;D8;1;134686;1040550;3;Corporates;D12;ILSK;2;491;21.05.2020;24.09.2021;ERROR
TLSK;123451;1050901;6;Small Medium Business (SMB);D8;2;123450;1050901;6;Small Medium Business (SMB);D12;TBSK;1;1;09.03.2020;10.03.2020;OK
TLSK;113632;1063445;6;Small Medium Business (SMB);D8;1;134688;1063445;6;Small Medium Business (SMB);D12;ILSK;2;1059;31.10.2018;24.09.2021;ERROR
TLSK;116030;1201298;4;Government-Owned Commercial Undertaking;D8;1;122392;1201298;4;Government-Owned Commercial Undertaking;D12;TBSK;2;336;01.03.2019;31.01.2020;ERROR
TLSK;121911;1226542;6;Small Medium Business (SMB);D8;1;134685;1226542;6;Small Medium Business (SMB);D12;ILSK;2;631;02.01.2020;24.09.2021;ERROR
TLSK;138797;1359522;6;Small Medium Business (SMB);D8;3;136252;1359522;6;Small Medium Business (SMB);D12;TBSK;2;153;28.04.2022;26.11.2021;OK
TLSK;128092;1360704;3;Corporates;D8;1;128111;1360704;3;Corporates;D12;TBSK;2;2;19.10.2020;21.10.2020;OK
TLSK;124096;1393954;6;Small Medium Business (SMB);D8;2;124094;1393954;6;Small Medium Business (SMB);D12;TBSK;1;1;06.04.2020;07.04.2020;OK
TLSK;110570;1398159;6;Small Medium Business (SMB);D8;1;134684;1398159;6;Small Medium Business (SMB);D12;ILSK;2;1220;23.05.2018;24.09.2021;ERROR
TLSK;127990;1432833;6;Small Medium Business (SMB);D8;1;131792;1432833;6;Small Medium Business (SMB);D12;TBSK;2;190;12.10.2020;20.04.2021;ERROR
TLSK;129793;1475904;6;Small Medium Business (SMB);D11;1;134687;1475904;6;Small Medium Business (SMB);D12;ILSK;2;277;21.12.2020;24.09.2021;ERROR
TLSK;120510;1503696;6;Small Medium Business (SMB);D4;1;120531;1503696;6;Small Medium Business (SMB);D12;TBSK;2;5;31.10.2019;05.11.2019;ERROR
TLSK;125650;1505588;6;Small Medium Business (SMB);D8;1;125670;1505588;6;Small Medium Business (SMB);D12;TBSK;2;2;23.06.2020;25.06.2020;OK
TLSK;138801;1601150;6;Small Medium Business (SMB);D4;3;137032;1601150;6;Small Medium Business (SMB);D12;TBSK;2;113;28.04.2022;05.01.2022;OK
TLSK;138802;1611542;6;Small Medium Business (SMB);D8;3;137011;1611542;6;Small Medium Business (SMB);D12;TBSK;2;114;28.04.2022;04.01.2022;OK
TLSK;137636;1627966;6;Small Medium Business (SMB);D11;1;137671;1627966;6;Small Medium Business (SMB);D12;ILSK;2;2;15.02.2022;17.02.2022;OK
TLSK;126152;1633034;3;Corporates;D11;1;130671;1633034;3;Corporates;D12;TBSK;2;212;21.07.2020;18.02.2021;ERROR
TLSK;121012;1636934;6;Small Medium Business (SMB);D11;1;121013;1636934;6;Small Medium Business (SMB);D12;TBSK;2;1;02.12.2019;03.12.2019;OK
TLSK;121012;1636934;6;Small Medium Business (SMB);D11;1;134683;1636934;6;Small Medium Business (SMB);D12;ILSK;3;662;02.12.2019;24.09.2021;OK
TLSK;138803;1905910;6;Small Medium Business (SMB);D8;3;136352;1905910;6;Small Medium Business (SMB);D12;TBSK;2;149;28.04.2022;30.11.2021;OK
TLSK;101305;192323;6;Small Medium Business (SMB);D8;1;101346;192323;6;Small Medium Business (SMB);D12;TBSK;2;2;20.06.2017;22.06.2017;OK
TLSK;138804;1927438;6;Small Medium Business (SMB);D8;3;138232;1927438;6;Small Medium Business (SMB);D12;TBSK;2;29;28.04.2022;30.03.2022;OK
TLSK;102365;206253;3;Corporates;D5;1;134691;206253;3;Corporates;D12;ILSK;2;1530;17.07.2017;24.09.2021;ERROR
TLSK;123850;497073;6;Small Medium Business (SMB);D8;1;123890;497073;6;Small Medium Business (SMB);D12;TBSK;2;2;24.03.2020;26.03.2020;OK
TLSK;103746;504085;6;Small Medium Business (SMB);D8;2;134682;504085;6;Small Medium Business (SMB);D12;ILSK;3;1481;04.09.2017;24.09.2021;ERROR
TLSK;121750;518070;6;Small Medium Business (SMB);D8;1;134690;518070;6;Small Medium Business (SMB);D12;ILSK;2;641;23.12.2019;24.09.2021;ERROR
TLSK;97265;719795;6;Small Medium Business (SMB);D8;2;97245;719795;6;Small Medium Business (SMB);D12;TBSK;1;1;20.02.2017;21.02.2017;OK
TLSK;138786;764901;3;Corporates;D8;3;137031;764901;3;Corporates;D12;TBSK;2;113;28.04.2022;05.01.2022;OK
TLSK;113630;779709;6;Small Medium Business (SMB);D8;2;113370;779709;6;Small Medium Business (SMB);D12;TBSK;1;5;31.10.2018;26.10.2018;OK
